open_ms,open,high,low,close
1777451610000,77008.32,77008.33,77008.32,77008.33
1777451611000,77008.32,77008.32,77008.32,77008.32
1777451612000,77008.32,77008.33,77008.32,77008.33
1777451613000,77008.33,77008.33,77008.33,77008.33
1777451614000,77008.32,77008.32,77008.32,77008.32
1777451615000,77008.32,77008.33,77008.32,77008.33
1777451616000,77008.33,77008.33,77008.33,77008.33
1777451617000,77008.32,77008.32,77008.32,77008.32
1777451618000,77008.32,77008.32,77008.32,77008.32
1777451619000,77008.32,77008.32,77008.32,77008.32
1777451620000,77008.33,77008.33,77008.32,77008.32
1777451621000,77008.32,77008.32,77008.32,77008.32
1777451622000,77008.33,77008.33,77008.32,77008.33
1777451623000,77008.32,77008.32,77008.32,77008.32
1777451624000,77008.33,77008.33,77008.33,77008.33
1777451625000,77008.33,77008.33,77008.33,77008.33
1777451626000,77008.33,77008.33,77008.32,77008.32
1777451627000,77008.32,77008.33,77008.32,77008.33
1777451628000,77008.33,77008.33,77008.32,77008.32
1777451629000,77008.32,77008.33,77008.32,77008.33
1777451630000,77008.33,77008.33,77008.32,77008.32
1777451631000,77008.32,77008.32,77008.32,77008.32
1777451632000,77008.32,77008.32,77008.32,77008.32
1777451633000,77008.32,77008.32,77008.32,77008.32
1777451634000,77008.32,77008.32,77008.32,77008.32
1777451635000,77008.32,77008.33,77008.32,77008.33
1777451636000,77008.32,77008.32,77008.32,77008.32
1777451637000,77008.32,77008.33,77008.32,77008.33
1777451638000,77008.32,77008.32,77008.32,77008.32
1777451639000,77008.33,77008.33,77008.33,77008.33
1777451640000,77008.33,77008.33,77008.32,77008.32
1777451641000,77008.33,77008.33,77008.32,77008.32
1777451642000,77008.32,77008.32,77008.32,77008.32
1777451643000,77008.32,77008.32,77008.32,77008.32
1777451644000,77008.33,77008.33,77008.32,77008.33
1777451645000,77008.33,77008.33,77008.33,77008.33
1777451646000,77008.32,77008.32,77008.32,77008.32
1777451647000,77008.32,77008.32,77001.37,77001.37
1777451648000,77001.38,77001.38,76998.63,76998.64
1777451649000,76998.64,76998.64,76998.63,76998.64
1777451650000,76998.63,76998.64,76998.63,76998.63
